team,method
arsenal,arsenal
man u,man_u
man city,man_city
chelsea,chelsea
liverpool,liverpool
tottenham,tottenham
leicester,leicester
everton,everton
southampton,southampton
aston villa,aston_villa
west ham,west_ham
newcastle,newcastle
crystal palace,crystal_palace
wolves,wolves
fulham,fulham
west brom,west_brom
leeds,leeds
burnely,burnley
sheffield,sheffield
brighton,brighton
